"publication_id","ai_subfield"
"W3007935259","General AI"
"W3017193407","General AI"
"W3015487859","General AI"
"W3035253074","computer vision"
"W3010757542","General AI"
"W3153200540","General AI"
"W2921123283","reinforcement learning"
"W2991911032","General AI"
"W3216623900","computer vision"
"W3011430986","computer vision"
"W4206060008","explainable ai"
"W3033777149","General AI"
"W3127425528","General AI"
"W3080221164","General AI"
"W4294351233","General AI"
"W2970862273","graph neural networks"
"W3097693500","natural language processing"
"W2955088691","General AI"
"W3034739212","graph neural networks"
"W2911290743","computer vision"
"W2963946985","computer vision"
"W4287093414","General AI"
"W3159953606","graph neural networks"
"W2990283237","computer vision"
"W4366377753","graph neural networks"
"W4309862248","computer vision"
"W4309862248","graph neural networks"
"W4376528501","General AI"
"W3132522414","federated learning"
"W3132522414","graph neural networks"
"W3126625348","graph neural networks"
"W4385342469","computer vision"
"W4385342469","natural language processing"
"W3005187920","graph neural networks"
"W3017246359","computer vision"
"W2963131120","computer vision"
"W3043941844","General AI"
"W3192744758","General AI"
"W2897202622","General AI"
"W3200759624","General AI"
"W3040231701","computer vision"
"W2979750740","computer vision"
"W2924260403","General AI"
"W3035700103","General AI"
"W2910707576","General AI"
"W2931743911","computer vision"
"W2931858311","General AI"
"W3215430231","graph neural networks"
"W3192421672","graph neural networks"
"W3192421672","transformer architecture"
"W3164573547","General AI"
"W3010779281","General AI"
"W2946721323","graph neural networks"
"W3021094251","generative ai"
"W3126876258","graph neural networks"
"W4220863497","General AI"
"W3002705197","computer vision"
"W4383560187","General AI"
"W3035839386","General AI"
"W2940487144","General AI"
"W3001554227","computer vision"
"W4385464598","General AI"
"W4306871314","General AI"
"W3180959755","General AI"
"W4206713037","General AI"
"W2900153411","transformer architecture"
"W4210541032","computer vision"
"W4210541032","graph neural networks"
"W3092128289","computer vision"
"W2996028791","neural architecture search"
"W3091468319","General AI"
"W2949642792","General AI"
"W3000291311","General AI"
"W3214714397","graph neural networks"
"W3195820203","General AI"
"W3019119825","General AI"
"W3093002101","graph neural networks"
"W3171973514","General AI"
"W2942193471","General AI"
"W2928560789","computer vision"
"W3142870706","computer vision"
"W4396669628","generative ai"
"W4292289324","General AI"
"W4385363975","General AI"
"W3178367256","graph neural networks"
"W3026072590","General AI"
"W3178328486","graph neural networks"
"W4288720745","graph neural networks"
"W3201829457","computer vision"
"W3201829457","graph neural networks"
"W2960630842","generative ai"
"W3013772641","generative ai"
"W4318570691","General AI"
"W2950361482","General AI"
"W4367046771","graph neural networks"
"W4312702896","graph neural networks"
"W3136979370","computer vision"
"W3047846843","graph neural networks"
"W2985630280","General AI"
"W2980446414","General AI"
"W3164107346","graph neural networks"
"W3164772195","computer vision"
"W3164772195","graph neural networks"
"W3006782564","General AI"
"W4206265152","graph neural networks"
"W3016522735","General AI"
"W3110791298","computer vision"
"W3110791298","graph neural networks"
"W4285803722","graph neural networks"
"W4285803722","transformer architecture"
"W4323848232","natural language processing"
"W4323848232","transformer architecture"
"W2980540750","graph neural networks"
"W2980540750","transformer architecture"
"W2963509914","computer vision"
"W2972006294","computer vision"
"W2968558338","General AI"
"W2987861506","computer vision"
"W2981296841","General AI"
"W3214309058","graph neural networks"
"W2906386705","computer vision"
"W3017343831","General AI"
"W2944548960","General AI"
"W3184580818","graph neural networks"
"W2945594170","graph neural networks"
"W3110356609","natural language processing"
"W3110356609","transformer architecture"
"W4389885061","computer vision"
"W4389885061","generative ai"
"W3200354549","graph neural networks"
"W3174146526","graph neural networks"
"W4315648146","General AI"
"W2922705140","General AI"
"W4313462484","General AI"
"W3040299034","General AI"
"W2899788782","General AI"
"W3118642024","computer vision"
"W3118642024","graph neural networks"
"W4313576662","General AI"
"W3112288498","General AI"
"W3011186445","General AI"
"W3090323843","General AI"
"W2997422821","General AI"
"W3162418282","computer vision"
"W3162418282","transformer architecture"
"W3020496054","computer vision"
"W3005937161","General AI"
"W4220721362","graph neural networks"
"W2974878544","General AI"
"W3180450071","General AI"
"W4360949780","General AI"
"W3037880470","General AI"
"W3152560880","graph neural networks"
"W3033097971","computer vision"
"W2907255073","General AI"
"W4323536358","natural language processing"
"W4323536358","transformer architecture"
"W2996141621","General AI"
"W4380685454","General AI"
"W3101712992","computer vision"
"W3169024950","computer vision"
"W3169024950","graph neural networks"
"W2993809815","General AI"
"W3203932036","federated learning"
"W4280545892","graph neural networks"
"W4308052494","graph neural networks"
"W3124414187","General AI"
"W4393855718","General AI"
"W2995914187","graph neural networks"
"W2999494042","computer vision"
"W3003110834","General AI"
"W2989691494","General AI"
"W3199772305","General AI"
"W2988293491","General AI"
"W2945551948","General AI"
"W3095319910","natural language processing"
"W3095319910","transformer architecture"
"W3159526010","General AI"
"W3092618035","graph neural networks"
"W3092618035","reinforcement learning"
"W4400217631","General AI"
"W3094675384","General AI"
"W3124978547","General AI"
"W3012846134","graph neural networks"
"W3012846134","reinforcement learning"
"W3011055781","General AI"
"W4360864690","General AI"
"W3004016611","computer vision"
"W2962984603","General AI"
"W2885030880","General AI"
"W3175234951","graph neural networks"
"W3088428904","computer vision"
"W3015014633","General AI"
"W4312935532","graph neural networks"
"W2944345944","General AI"
"W4372330430","graph neural networks"
"W2895491352","General AI"
"W2973032093","General AI"
"W2904005001","General AI"
"W2963855133","computer vision"
"W4281728047","computer vision"
"W4281728047","natural language processing"
"W3034698100","General AI"
"W4320915618","graph neural networks"
"W3192448376","graph neural networks"
"W3119527628","General AI"
"W2972246420","General AI"
"W3127228978","graph neural networks"
"W3139727712","General AI"
"W2979040987","generative ai"
"W2970610508","General AI"
"W3134146960","General AI"
"W4283800658","graph neural networks"
"W2962879438","General AI"
"W3209882608","graph neural networks"
"W3041502010","General AI"
"W4280617006","graph neural networks"
"W3207160263","General AI"
"W3131917094","General AI"
"W4319083788","reinforcement learning"
"W2993158195","General AI"
"W3157699413","General AI"
"W4319304408","natural language processing"
"W4319304408","transformer architecture"
"W3036619032","graph neural networks"
"W3038559317","General AI"
"W4285293538","graph neural networks"
"W2952142982","generative ai"
"W2950863887","computer vision"
"W2999804519","General AI"
"W2953521532","General AI"
"W2979279941","generative ai"
"W2965341826","General AI"
"W2961638199","computer vision"
"W3034090344","graph neural networks"
"W3046296398","General AI"
"W4309609199","graph neural networks"
"W4309609199","natural language processing"
"W2945964866","General AI"
"W4390970201","generative ai"
"W4390970201","reinforcement learning"
"W3038955483","General AI"
"W4255466918","General AI"
"W4200170471","General AI"
"W4230775373","generative ai"
"W3027201985","General AI"
"W3047729951","General AI"
"W3016146955","General AI"
"W2766005220","General AI"
"W4295854586","explainable ai"
"W4200635484","graph neural networks"
"W3116274835","General AI"
"W3081258743","generative ai"
"W3015977534","explainable ai"
"W2989552938","General AI"
"W2917193084","General AI"
"W3209912268","General AI"
"W3089334509","General AI"
"W3096831017","General AI"
"W3113447514","computer vision"
"W3113447514","generative ai"
"W2954849019","General AI"
"W3142712062","General AI"
"W2969117470","General AI"
"W4312204616","General AI"
"W4386253020","General AI"
"W4385766743","explainable ai"
"W4296438114","graph neural networks"
"W4320486502","graph neural networks"
"W3031331881","graph neural networks"
"W2981644170","General AI"
"W4205773061","natural language processing"
"W4205773061","transformer architecture"
"W3003618396","computer vision"
"W3003618396","natural language processing"
"W4389739628","explainable ai"
"W4280549083","General AI"
"W3112699941","graph neural networks"
"W3027983943","General AI"
"W4205167309","graph neural networks"
"W3144812654","graph neural networks"
"W3144812654","neural architecture search"
"W3193638860","General AI"
"W2970154784","computer vision"
"W4311897638","graph neural networks"
"W2907716704","computer vision"
"W2917901091","computer vision"
"W3014278717","General AI"
"W4312950730","computer vision"
"W4312950730","transformer architecture"
"W4391221083","General AI"
"W3001525167","computer vision"
"W3172620719","graph neural networks"
"W2939071985","General AI"
"W2908155528","General AI"
"W2955986556","generative ai"
"W2970080722","General AI"
"W3008872739","General AI"
"W2892077605","General AI"
"W3012481664","General AI"
"W2990026901","computer vision"
"W2912516940","General AI"
"W3121931845","General AI"
"W2997403460","graph neural networks"
"W3104302219","graph neural networks"
"W4206103951","General AI"
"W3088383832","General AI"
"W2955613755","General AI"
"W2947707259","computer vision"
"W2947707259","explainable ai"
"W2915292867","General AI"
"W4392664198","computer vision"
"W2957311447","General AI"
"W3158818505","computer vision"
"W3163493952","graph neural networks"
"W4306317752","graph neural networks"
"W3028931246","General AI"
"W2969309273","explainable ai"
"W2928542791","General AI"
"W2988589399","General AI"
"W4226058932","explainable ai"
