date_key,date,year,quarter,month,month_name,week_of_year,is_conference_season
20191213,2019-12-13,2019,4,12,December,50,True
20191214,2019-12-14,2019,4,12,December,50,True
20191215,2019-12-15,2019,4,12,December,50,True
20191216,2019-12-16,2019,4,12,December,51,True
20191217,2019-12-17,2019,4,12,December,51,True
20191218,2019-12-18,2019,4,12,December,51,True
20191219,2019-12-19,2019,4,12,December,51,True
20191220,2019-12-20,2019,4,12,December,51,True
20191221,2019-12-21,2019,4,12,December,51,True
20191222,2019-12-22,2019,4,12,December,51,True
20191223,2019-12-23,2019,4,12,December,52,True
20191224,2019-12-24,2019,4,12,December,52,True
20191225,2019-12-25,2019,4,12,December,52,True
20191226,2019-12-26,2019,4,12,December,52,True
20191227,2019-12-27,2019,4,12,December,52,True
20191228,2019-12-28,2019,4,12,December,52,True
20191229,2019-12-29,2019,4,12,December,52,True
20191230,2019-12-30,2019,4,12,December,1,True
20191231,2019-12-31,2019,4,12,December,1,True
20200101,2020-01-01,2020,1,1,January,1,False
20200102,2020-01-02,2020,1,1,January,1,False
20200103,2020-01-03,2020,1,1,January,1,False
20200104,2020-01-04,2020,1,1,January,1,False
20200105,2020-01-05,2020,1,1,January,1,False
20200106,2020-01-06,2020,1,1,January,2,False
20200107,2020-01-07,2020,1,1,January,2,False
20200108,2020-01-08,2020,1,1,January,2,False
20200109,2020-01-09,2020,1,1,January,2,False
20200110,2020-01-10,2020,1,1,January,2,False
20200111,2020-01-11,2020,1,1,January,2,False
20200112,2020-01-12,2020,1,1,January,2,False
20200113,2020-01-13,2020,1,1,January,3,False
20200114,2020-01-14,2020,1,1,January,3,False
20200115,2020-01-15,2020,1,1,January,3,False
20200116,2020-01-16,2020,1,1,January,3,False
20200117,2020-01-17,2020,1,1,January,3,False
20200118,2020-01-18,2020,1,1,January,3,False
20200119,2020-01-19,2020,1,1,January,3,False
20200120,2020-01-20,2020,1,1,January,4,False
20200121,2020-01-21,2020,1,1,January,4,False
20200122,2020-01-22,2020,1,1,January,4,False
20200123,2020-01-23,2020,1,1,January,4,False
20200124,2020-01-24,2020,1,1,January,4,False
20200125,2020-01-25,2020,1,1,January,4,False
20200126,2020-01-26,2020,1,1,January,4,False
20200127,2020-01-27,2020,1,1,January,5,False
20200128,2020-01-28,2020,1,1,January,5,False
20200129,2020-01-29,2020,1,1,January,5,False
20200130,2020-01-30,2020,1,1,January,5,False
20200131,2020-01-31,2020,1,1,January,5,False
20200201,2020-02-01,2020,1,2,February,5,False
20200202,2020-02-02,2020,1,2,February,5,False
20200203,2020-02-03,2020,1,2,February,6,False
20200204,2020-02-04,2020,1,2,February,6,False
20200205,2020-02-05,2020,1,2,February,6,False
20200206,2020-02-06,2020,1,2,February,6,False
