"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A5028465560","Omid Gheibi","0000-0003-1493-8211","5","207","10","I133529467","IR","3","False","True"
"A5038848973","Tomohiro Saito","0000-0002-9916-4640","27","3212","284","I4210110562","JP","61","False","True"
"A5030498760","Vinchhi Devang","","1","48","1","","","1","False","False"
"A5100719934","Xin Wang","0000-0002-6391-2651","18","874","96","I2802534033","CN","35","False","True"
"A5063346362","Hongjian Zhang","0000-0003-1322-6634","6","218","31","I881766915","CN","21","False","True"
"A5050310538","Priyadarshini Panda","0000-0002-4167-6782","33","6169","232","I32971472","US","11","True","True"
"A5084415408","P. Nagaraj","","32","3552","246","I145286018","IN","37","False","True"
"A5024353157","Jose A. Almaraz-Damian","0000-0002-9132-9973","5","229","15","I64663401","MX","10","False","True"
"A5063012701","Maryam Kouzehgar","0000-0001-9040-900X","6","163","14","","","13","False","False"
"A5036889913","Kaveri A. Thakoor","0000-0001-5589-8151","10","457","42","I2799503643","US","21","False","True"
"A5080284858","Mingyu Gao","0000-0002-5893-3802","12","614","48","I152269853","CN","24","False","True"
"A5004723202","Stefan T. Radev","0000-0002-6702-9559","12","629","79","I165799507","US","9","False","True"
"A5113167311","Thuan Quoc Pham","","12","425","33","","","29","False","False"
"A5100446064","Hao Wang","0000-0001-9301-5989","71","26564","2015","I108688024","CN","78","True","True"
"A5100742340","Zixiao Wang","0000-0002-0964-6436","7","210","19","I17747738","CN","9","False","True"
"A5040532479","Louis Henry Kamulegeya","","6","868","21","I72227227","UG","9","False","True"
"A5023148083","Máté Baranyi","0000-0003-4415-4805","4","91","14","","","6","False","False"
"A5040618388","Patrick Schelb","","7","625","11","I17937529","DE","5","False","True"
"A5028935352","Yemeserach Mekonnen","0000-0003-2773-8745","6","502","13","I19700959","US","4","False","True"
"A5069762508","Nagnath Aherwadi","0000-0001-6250-4245","3","149","6","","","5","False","False"
"A5090815753","Fanwen Kong","","6","298","25","I83714178","CN","20","False","True"
"A5075100287","Md Mamunur Rahaman","0000-0003-2268-2092","22","2701","77","I31746571","AU","8","False","True"
"A5046881670","Riya Sil","0000-0003-4158-9301","7","196","42","","","6","False","False"
"A5051240125","Abdulrahman Takiddin","0000-0003-4793-003X","12","708","39","I103163165","US","6","False","True"
"A5101885276","Atul Sharma","0000-0002-8960-5449","41","6432","411","I129734738","IN","44","False","True"
