"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A5078284514","K. Ruwani M. Fernando","0000-0003-0236-8469","2","256","3","I2613432","US","5","False","True"
"A5103213957","Ramin Ghorbani","0000-0003-3631-0177","6","418","20","I98358874","NL","10","False","True"
"A5003150732","Hassan Younis","0000-0002-6751-9339","12","1015","19","","","20","False","False"
"A5069677848","Fabiano Dalpiaz","0000-0003-4480-3887","36","4099","231","","","18","True","False"
"A5017832612","Evgeny V. Podryabinkin","0000-0001-9057-7249","15","2177","35","I125989756","RU","14","False","True"
"A5074496477","Andrea De Mauro","0000-0001-9050-5018","13","2299","23","I116067653","IT","63","False","True"
"A5006293953","Shahab S. Band","0000-0001-6109-1311","59","11285","320","I75357094","TW","15","True","True"
"A5102010856","Hao Huang","0000-0002-6729-1987","14","1873","106","I157773358","CN","20","False","True"
"A5053583417","Xiaoling Deng","0000-0001-5588-3443","34","3872","170","I101479585","CN","39","False","True"
"A5100665121","Yongbo Li","0000-0003-2699-9951","44","6732","331","I139660479","CN","20","True","True"
"A5060516294","Nicholas Bernstein","0000-0001-9685-0998","7","789","50","","","25","False","False"
"A5018505448","Donghyuk Shin","0000-0001-8687-0258","12","709","30","","","22","False","False"
"A5047344052","Yusuke Kurita","0000-0003-2482-6707","22","2657","112","I89630735","JP","68","False","True"
"A5011147039","José Blanchet","0000-0001-5895-0912","25","3190","354","I97018004","US","20","True","True"
"A5060836778","Elvin Isufi","0000-0002-1919-260X","21","2010","160","I98358874","NL","12","True","True"
"A5065415359","HyukJoon Chang","","1","238","3","I139264467","KR","3","False","True"
"A5007263180","Shengnan Tang","0000-0002-6417-0143","35","3697","101","I115592961","CN","31","False","True"
"A5032536669","Baptiste Vasey","0000-0002-0017-8891","12","1168","25","I40120149","GB","6","False","True"
"A5084313385","Jingxia Chen","0000-0002-1994-4752","14","1033","69","I177933477","CN","17","False","True"
"A2105785680","Aniruddha Dutta","0000-0002-3905-946X","0","0","3","","","1","False","False"
"A5026528598","Zhongyuan Zhao","0000-0003-0346-8015","8","375","43","I74775410","US","40","False","True"
"A5017572116","Hugo Storm","0000-0003-3791-3615","9","517","51","I135140700","DE","36","False","True"
"A5115061716","Qi Liu","0000-0002-4953-1537","5","294","9","I35928602","KR","19","False","True"
"A5087976149","Mauro Castelli","0000-0002-8793-1451","38","6813","320","I83558840","PT","57","False","True"
"A5112712225","Stevo Bozinovski","","9","470","51","I139398662","US","41","False","True"
"A5067969305","Aishwarya Madhav Mujumdar","","2","493","2","I876193797","IN","2","False","True"
"A5049762746","Ayşegül Uçar","0000-0002-5253-3779","21","1880","75","I143396566","TR","29","False","True"
"A5056595994","Mohamed Khalifa","0000-0002-5919-8352","43","6962","199","","","31","False","False"
"A5046183234","Salah A. Faroughi","0000-0002-6543-1691","18","1167","71","I223532165","US","13","False","True"
"A5103960214","Yiying Yang","","5","113","13","","","7","False","False"
"A5009045604","Gianluca Furano","0000-0001-7624-1415","23","1645","152","I44377176","NL","29","False","True"
"A5032655161","Olusola Abayomi‐Alli","0000-0003-2513-5318","20","1372","63","I172574986","LT","11","False","True"
"A5101784955","Yang Ying","0000-0002-0112-3016","10","1129","53","I4210148225","CN","26","False","True"
"A5004938056","Shengyi Zhao","","12","620","24","I115592961","CN","15","False","True"
"A5029063409","Alexander Rives","0000-0003-2208-0796","15","10010","26","I4210137413","US","23","False","True"
"A5048712610","Ryan Beal","0000-0003-1435-9957","6","182","15","","","7","False","False"
"A5042278585","Yang Gao","0000-0001-9930-137X","2","39","8","I76130692","CN","3","False","True"
"A5033210702","Farhad Maleki","0000-0002-5673-8210","15","1135","89","I168635309","CA","18","False","True"
"A5048665668","Md Abu Rumman Refat","","3","102","7","I2802576217","BD","4","False","True"
"A5043419128","Matjaž Gams","0000-0002-5747-0711","31","4004","260","I2799787213","SI","39","False","True"
"A5012282889","Shuke Zhang","","3","164","5","I4210159676","CN","6","False","True"
"A5061741216","Nighat Bibi","0000-0002-3586-7363","2","154","4","I4210144925","IE","6","False","True"
"A5061668124","Enrui Zhang","0000-0001-6955-1124","13","1100","50","I170215575","CN","15","False","True"
"A5101805156","Yuzhuo Li","0000-0003-2787-3998","20","2135","113","I154425047","CA","38","False","True"
"A5005696139","Dejan Varmedja","","1","282","1","I170726198","RS","1","False","True"
"A5044235440","Johnathon M. Shook","","7","386","13","I173911158","US","9","False","True"
"A5026974685","Israel Cruz-Vega","0000-0003-0380-0233","13","712","54","I39824353","MX","18","False","True"
"A5082440310","Jian Fu","0000-0002-4682-1272","5","200","9","I9086337","CN","18","False","True"
"A5003178960","Mário Véstias","0000-0001-8556-4507","17","1159","143","I121345201","PT","23","False","True"
"A5020927144","Alessandro Repici","0000-0002-1621-6450","89","34235","1831","I1339471597","IT","28","True","True"
"A5054087849","Maha Alghawazi","","3","120","3","I185163786","SA","2","False","True"
"A5088945316","Ming Zhong","0000-0001-5728-0224","24","3064","86","I157725225","US","29","False","True"
"A5055168091","Huanhuan Ji","0000-0002-0187-0038","8","415","23","I177388780","CN","10","False","True"
"A5012051562","Jiechao Gao","0000-0003-0628-1416","23","2360","103","I1743320","US","16","False","True"
"A5043483950","Thomas T. Nguyen","0000-0002-1037-3068","20","1233","98","I4210118467","US","35","False","True"
"A5032394209","Hermann Baumgartl","0000-0001-8918-3197","13","655","41","","","6","False","False"
"A5100438461","Hang Zhang","0000-0002-7816-4238","26","7407","158","I109935558","CN","20","False","True"
"A5100779651","Hao Zhang","0000-0003-1393-3670","7","242","15","I154099455","CN","17","False","True"
"A2056382608","Amirhossein Arzani","0000-0002-3706-7909","0","0","6","","","1","False","False"
"A2805409373","S Mostafa Mousavi","0000-0001-5091-5370","0","0","4","","","1","False","False"
"A5082458788","Tianwen Zhang","","30","4302","168","I150229711","CN","39","False","True"
"A5082858691","Karansher Singh Sandhu","0000-0002-9395-2646","21","1752","61","","","6","True","False"
"A5017873430","Wanjie Liang","","5","449","13","I4210087107","CN","15","False","True"
"A5076429401","Chang-Jae Chun","0000-0001-6846-6139","12","765","30","I28777354","KR","14","False","True"
"A5111045439","Felix Yu","","12","1208","49","","","16","False","False"
"A5006669765","Xin Xia","0000-0002-6302-3256","74","19741","572","I168879160","CN","24","True","True"
"A5014453341","Innocent Kutyauripo","0000-0003-3148-7096","3","129","5","","","5","False","False"
"A5060258197","Ruslan Abdulkadirov","0000-0001-7792-1666","5","137","30","I210043505","RU","5","False","True"
"A5100716169","Yanbin Wang","0000-0003-1949-6918","49","9818","137","","","31","False","False"
"A5043814913","Isaac Wiafe","0000-0003-1149-3309","14","668","61","I138690464","GH","15","False","True"
"A5084010520","Mingxuan Lu","0000-0003-0284-2327","2","35","10","I134052481","CN","4","False","True"
"A5052723092","Yuzhao Chen","","7","141","27","I219193219","US","16","False","True"
"A5076485048","Hojat Shirmard","","2","104","6","","","5","False","False"
"A5101816539","M. Lai","0000-0003-4488-7515","1","270","9","I180670191","US","23","False","True"
"A5018630622","Dur-e-Maknoon Nisar","0000-0002-1546-0574","2","81","2","","","2","False","False"
"A5060877186","Zahra Mohtasham‐Amiri","0000-0002-4896-6248","24","2046","192","I194604659","IR","39","False","True"
"A5101670377","Rahul Sharma","0000-0001-7437-4038","10","580","23","I151903974","IN","12","False","True"
"A5100677497","Shahab Jozdani","0000-0002-3260-3952","7","402","11","I204722609","CA","7","False","True"
"A5100686442","Rong Zhu","0000-0003-4019-8587","22","2240","162","I168719708","HK","26","False","True"
"A5060367797","Hager Saleh","","15","971","35","I18452974","IE","24","False","True"
"A5075697353","Eileen Donahoe","","4","178","8","","","34","False","False"
"A5017400006","Jörn Lötsch","0000-0002-5818-6958","67","14664","369","I114090438","DE","40","False","True"
"A5069993099","Alejandro Baldominos","0000-0002-8906-7572","16","1260","36","I50357001","ES","9","False","True"
"A5019060398","Isaac Kofi Nti","0000-0001-9257-4295","19","2533","86","I63135867","US","16","False","True"
"A5046733238","Apostolos Tsakyridis","0000-0003-1498-4904","21","1358","108","I21370196","GR","10","True","True"
"A5067999166","Wen-Shuai Hu","","9","466","16","I125839683","CN","7","False","True"
"A5027760748","Latrisha N. Mintarya","","1","127","1","I166073570","ID","1","False","True"
"A2604163639","Qikui Zhu","0000-0002-2779-4766","2","348","2","","","1","False","False"
"A5067317041","Ahmed Tlili","0000-0003-1449-7751","33","5595","190","I25254941","CN","16","True","True"
"A5079640542","Shuqian Ye","0000-0001-6314-8836","5","148","18","I4210116924","CN","7","False","True"
"A5100614584","Xu Chen","0000-0002-9427-0161","14","1074","47","I116953780","CN","37","False","True"
"A5055940406","Yufan Hu","0000-0001-6851-9392","5","161","16","I92403157","CN","6","False","True"
"A5101500871","Anji Reddy Vaka","0000-0002-4236-8001","2","254","5","I104941359","JO","5","False","True"
"A5009400840","Muhammad Umer","0000-0002-6015-9326","34","3745","143","","","15","False","False"
"A5100395453","Bin Liu","0000-0001-9388-0198","21","3352","77","I4210151987","CN","20","False","True"
"A5068249588","Neha Prerna Tigga","0000-0002-6590-1542","5","802","10","","","6","False","False"
"A5015704757","Haoyan Huo","0000-0003-2227-9121","17","1521","37","I148283060","US","8","False","True"
"A5042402378","Harshana Liyanage","0000-0001-9738-6349","22","1831","87","I1311074006","GB","14","False","True"
"A5082992989","N. Suthanthira Vanitha","0000-0002-9579-7651","17","930","164","I145286018","IN","24","False","True"
"A5022442366","Hanan S. Alghamdi","0000-0003-2059-7687","10","433","31","I179331831","SA","18","False","True"
"A5024200617","Francesca Fallucchi","0000-0002-3288-044X","15","1217","76","","","19","False","False"
"A5089448389","Songlei Wang","0000-0003-4063-1694","9","195","29","I180726961","CN","6","False","True"
"A5078485642","Mohannad Abu Daqar","0000-0002-3549-6101","8","312","14","I1290523313","HU","5","False","True"
"A5071390331","Ke He","0000-0001-5585-6859","9","722","64","I17145004","CN","26","False","True"
"A5086262095","Zhiju Yang","","4","78","8","I167576493","US","5","False","True"
"A5113875364","Joon-myoung Kwon","","2","249","3","I4210126996","KR","7","False","True"
"A5013687804","Jonathan A. Weyn","0000-0002-4789-7594","13","788","27","I1290206253","US","11","False","True"
"A5074272474","Shihui Yin","0000-0001-7186-0946","20","2227","71","","","15","False","False"
"A5066107736","Aaron Jarrett","0000-0001-5067-1492","1","82","2","I45438204","US","1","False","True"
"A5064823702","Graziella Orrù","0000-0002-8769-7693","31","8241","134","I108290504","IT","36","False","True"
"A5026290233","Guofeng Lv","0000-0002-0184-4382","7","173","13","I157507598","CN","18","False","True"
"A5070644094","Wei Long Ng","0000-0001-7937-4010","26","3554","58","I172675005","SG","14","False","True"
"A5026491128","Oyeon Kwon","0000-0001-5498-0540","8","1141","15","","","31","False","False"
"A5101899823","Ruchi Gupta","0000-0003-2731-570X","6","394","12","I111979921","US","21","False","True"
"A5001445783","Xiaowei Jia","0000-0001-8544-5233","26","3760","261","I170201317","US","15","True","True"
"A5104036169","Shubham Kumar Singh","","1","47","3","I74885063","IN","5","False","True"
"A5108774755","Keene Chin","","4","309","7","I41461413","MY","3","False","True"
"A5084036967","Giovanni Apruzzese","0000-0002-6890-9611","17","1253","62","I184656255","LI","9","False","True"
"A5101479501","Ruolin Zhou","0000-0001-8630-3157","10","643","49","I100633361","US","18","False","True"
"A5042486434","Jun Yang","0000-0001-5509-9720","2","66","6","","","39","False","False"
"A5052637600","Jihye Shin","0000-0002-8593-0607","3","146","6","I139264467","KR","9","False","True"
"A5048875033","Deepak Kaji","0000-0002-0470-3219","19","1501","49","","","40","False","False"
"A5100435714","Lei Wang","0000-0001-5022-1950","13","736","34","I108688024","CN","16","False","True"
"A5065328976","Zhun Zhong","0000-0002-8202-0544","33","10277","139","I142263535","GB","24","False","True"
"A5044355433","Shiyi Qin","0000-0002-2045-0995","7","187","20","","","7","False","False"
"A5101954416","Mu Qiao","0000-0002-3476-2623","13","710","44","I4210085935","US","16","False","True"
"A5090663797","Matteo Chieregato","0000-0001-6815-6309","5","243","14","","","11","False","False"
"A5047608806","Connor D. Flynn","0000-0003-0297-0273","8","280","18","I111979921","US","12","False","True"
"A5002055735","Ricardo Pinto Cunha","","2","151","4","I4210119088","FR","2","False","True"
"A5059715148","Mohammadhossein Ghahramani","0000-0002-2743-359X","11","1005","30","I12870472","GB","9","False","True"
"A5090921348","Alberto Fernández","0000-0002-6480-8434","48","20039","153","","","27","False","False"
"A5101613727","Liang Yao","0000-0002-8637-0760","23","3490","65","I157773358","CN","12","False","True"
"A5091652013","Naresh Kumar Trivedi","0000-0003-4727-3885","16","1045","98","I74319210","IN","12","False","True"
"A5068617656","James Butcher","0000-0001-8546-6093","12","586","206","","","69","False","False"
"A5091621828","Arbaaz Khan","0000-0001-6457-4159","8","392","25","I5023651","CA","34","False","True"
"A5067031466","Yang Shen","0000-0002-6781-6915","18","1197","82","I119045251","CN","20","False","True"
"A5073317257","Jung-Pin Lai","0000-0002-5291-0108","6","332","14","I193365169","TW","6","False","True"
"A5068798343","Sakorn Mekruksavanich","0000-0002-3735-4262","31","2812","196","I4210090662","TH","17","True","True"
"A5031307251","Haowei Zeng","0000-0003-1688-8510","6","118","11","I4210124037","CN","8","False","True"
"A5101436521","Lan Li","0000-0002-5765-3892","12","832","24","I12411659","CN","31","False","True"
"A5076994242","Keping Yu","0000-0001-5735-2507","70","14237","448","I150744194","JP","26","True","True"
"A5050447573","Chahat Raj","0000-0003-0083-6812","7","277","27","","","6","False","False"
"A5090310897","Jetli Chung","","3","250","3","I161371597","MY","3","False","True"
"A5101480642","Hyun Suk Lee","0000-0003-3901-3311","6","358","24","I67900169","KR","22","False","True"
"A5071682189","Mieczysław L. Owoc","0000-0003-1578-6934","12","639","122","","","34","False","False"
"A5010075185","Abdel-Nasser Sharkawy","0000-0001-9733-221X","14","815","73","I189575948","EG","12","False","True"
"A5045494565","Ata Jahangir Moshayedi","0000-0002-9457-6267","22","1366","132","I4510145","CN","15","False","True"
"A5052730290","Ivan Vaccari","0000-0001-7721-5737","12","704","28","","","8","False","False"
"A5024840598","Ayesha Younis","0000-0002-4754-2144","8","487","16","","","23","False","False"
"A5084858136","Vítor Bento","0000-0003-4033-776X","2","39","6","","","26","False","False"
"A5101591219","Tanvir Ahmad","0000-0002-7187-1730","7","467","11","","","7","False","False"
"A5013735378","Adarsha Ruwali","0000-0003-2459-7983","4","186","4","I875944469","IN","2","False","True"
"A5002086547","Rifqah Olufunmilayo Okunlaya","0000-0002-9308-4148","4","265","6","I4576418","MY","10","False","True"
"A5067325407","Arkapravo Chattopadhyay","0000-0001-8043-069X","2","282","4","","","3","False","False"
"A5087579932","Renzhi Lu","0000-0001-6845-1711","16","2011","47","","","20","False","False"
"A5005774244","Md Hosne Mobarak","0009-0004-8563-9336","19","1459","54","I4210132231","BD","3","True","True"
"A5056610650","Narjes Rohani","0000-0003-4441-9359","5","264","18","","","15","False","False"
"A5035152667","Joel Grunhut","0000-0002-8104-9679","6","335","23","","","8","False","False"
"A5006047414","Yunsheng Shi","0000-0002-4003-3216","7","949","9","","","7","False","False"
"A5100393179","Ahmed Abdelmoamen Ahmed","0000-0001-9736-5353","11","490","52","I250520410","US","102","False","True"
"A5100449904","Yiming Liu","0000-0001-8824-4007","14","1054","77","I139759216","CN","24","False","True"
"A5093440835","Malene Helgo","","2","69","3","I47327664","BR","4","False","True"
"A5080161214","Yu Zhao","0000-0001-8179-4903","18","1692","79","I114539943","CN","34","False","True"
"A5039029030","Kevin Menden","0000-0002-5228-985X","9","470","33","","","10","False","False"
"A5013974495","Michelle Mohr Carney","0000-0002-9194-7384","23","1654","61","I120156002","US","35","False","True"
"A5012631773","Steven Euijong Whang","0000-0001-6419-931X","26","4128","84","I157485424","KR","18","False","True"
"A5100427161","Hao Ye","0000-0003-1544-1768","28","7666","89","I185103710","US","31","False","True"
"A5100609140","Jiandong Xie","0000-0002-9006-095X","6","485","13","I150229711","CN","20","False","True"
"A5067142777","Gozde Kara","","2","111","8","I48843708","TR","11","False","True"
"A5035271236","Julian Senoner","0000-0001-6633-5602","4","313","13","","","6","False","False"
"A5057436798","Hui Xue","0000-0002-5856-4445","19","1507","113","I110109458","CN","19","False","True"
"A5033187358","Joel Jaskari","0000-0002-6154-2378","10","478","37","I9927081","FI","8","False","True"
"A5033234715","Yahya Rbah","0000-0001-7446-0040","6","119","13","I81605866","MA","4","False","True"
"A5102782069","Raghavendra Chalapathy","0000-0002-3511-8864","9","2070","11","I129604602","AU","7","False","True"
"A5103063295","T. Ferra de Sousa","0000-0003-4013-7012","3","197","5","I99682543","PT","17","False","True"
"A5112844204","B. Narsimha","","1","58","1","","","1","False","False"
"A5113528019","Wenbin Ouyang","","7","261","26","","","22","False","False"
"A5091759632","Nada M. Elshennawy","0000-0002-8407-2719","11","1231","33","I21376657","EG","13","False","True"
"A5100386682","Yixin Liu","0000-0002-4309-5076","17","2416","119","I11701301","AU","14","False","True"
"A5025834970","Kemal Gökhan Nalbant","0000-0002-5065-2504","7","333","49","I8666313","TR","15","False","True"
"A1974433614","Bin Liu","0000-0001-5098-0578","20","1594","607","","","1","True","False"
"A5062101392","Maad M. Mıjwıl","0000-0002-2884-2504","24","2100","161","I2802535771","IQ","11","True","True"
"A2642035983","Yutaro Iiyama","0000-0002-8297-5930","1","12","26","","","1","True","False"
"A5085984067","Dukka Karun Kumar Reddy","0000-0001-8691-8557","8","249","23","","","14","False","False"
"A5108714890","Puja Gupta","","2","143","8","","","13","False","False"
"A5072992385","Wenlin Han","","15","672","45","","","15","False","False"
"A5047818731","Kavir Osorio","0000-0003-2993-3528","1","212","1","I36243813","CO","1","False","True"
"A2099186423","Renlong HANG","0000-0001-6046-3689","0","0","1","","","1","False","False"
"A5001453396","Jeffrey M. Ede","0000-0002-9358-5364","5","318","20","I178645029","US","5","False","True"
"A5051740711","Maria Sahakyan","0000-0002-6227-6024","2","117","4","I120250893","AE","5","False","True"
"A5026102803","Simon Y. Liu","","2","272","6","I1312222531","US","22","False","True"
"A5064199367","Weilai Lu","0000-0003-1657-1273","6","293","10","I19820366","CN","5","False","True"
"A5028338674","Ashima Kukkar","0000-0001-7664-1005","12","546","41","","","9","False","False"
"A5100737237","Muhammad Uzair","0000-0003-1063-9476","15","926","61","","","19","False","False"
"A5003529094","Zhe Geng","0000-0002-5440-3556","21","1811","153","I1311643757","CN","31","False","True"
"A5003051203","Thomas J. Hwang","0000-0003-0717-1497","30","3162","134","I1283280774","US","15","False","True"
"A5079663711","Emna Baccour","0000-0001-8218-8745","16","856","67","I4210144839","QA","11","False","True"
"A2614063671","Sirui Lu","0000-0003-0112-0744","6","213","15","","","1","True","False"
"A5059580638","Zhenzi Weng","0000-0003-2773-2722","5","817","18","I47508984","GB","5","False","True"
"A5037666565","Sheng Gong","0000-0002-7457-7959","20","2274","79","I162868743","CN","22","False","True"
"A5100643582","Feiyu Chen","0000-0002-0928-6899","12","354","49","I150229711","CN","14","False","True"
"A5005558317","Marjan Gušev","0000-0003-0351-9783","21","2375","352","I76245029","MK","34","True","True"
"A5028642208","Khadijeh Alibabaei","0000-0002-2319-8211","9","433","27","I102335020","DE","10","False","True"
"A5055392931","Sadaf Malik","0000-0002-2098-8648","1","82","4","I161237661","PK","15","False","True"
"A5063370302","Song-Hee Cheon","0000-0003-1414-5430","10","533","23","I24714338","KR","18","False","True"
"A5025002524","Naeem Ali","0000-0002-6370-5177","8","637","23","I4210149189","MY","13","False","True"
"A5100691058","Chengming Zhang","0009-0007-8695-5455","5","286","18","I109935558","CN","19","False","True"
"A5100354807","Yang Zhang","0000-0003-3722-6807","37","4991","301","I139759216","CN","22","True","True"
"A5056366920","Siyong Xu","","3","168","4","I139759216","CN","5","False","True"
"A5031934499","Stefania Barburiceanu","0000-0002-9988-5966","5","244","25","I158333966","RO","4","False","True"
"A5060580339","Mohaiminul Islam","0000-0003-2727-5509","10","343","24","","","20","False","False"
"A5001661677","Muhammad Adnan Khan","0000-0002-5156-2033","9","423","27","I2799888298","AE","24","False","True"
"A2133406486","Maximilian Pichler","0000-0003-2252-8327","0","0","1","","","1","False","False"
"A5086534279","Ashok Dahal","0000-0003-3269-5575","13","454","61","I155028946","NP","10","False","True"
"A5106466395","Maria Vakalopoulou","","21","4714","119","I277688954","FR","8","True","True"
"A5022036341","Sridevi Gadde","","4","92","10","I47639616","IN","4","False","True"
"A5049143775","Ruimin Ke","0000-0001-9139-6765","28","4708","92","I165799507","US","11","False","True"
"A5076990624","Khalid El Asnaoui","0000-0003-4260-6898","9","888","32","I4210108110","MA","11","False","True"
"A5047611950","Sammy V. Militante","0000-0003-1962-9450","11","769","26","I3132855970","PH","7","False","True"
"A5041505523","Qiutong Li","","8","370","45","I162868743","CN","10","False","True"
"A5006756424","Rejwan Bin Sulaiman","0000-0002-3037-7808","10","427","78","I32394136","GB","24","False","True"
"A5070698492","Zhaocheng Liu","0000-0001-6623-9231","24","3558","105","I4210158071","CN","19","False","True"
"A5067553642","Can Tunca","0000-0002-7532-8428","13","1233","23","I56303344","TR","11","False","True"
"A5038698450","Yasin Yari","0000-0002-3178-4085","4","165","8","I204778367","NO","5","False","True"
"A5100428751","Weidong Zhao","0000-0002-8753-8457","22","1909","114","I126520041","CN","25","False","True"
"A5058352305","Abdulwahab Ali Almazroi","0000-0001-7181-2100","25","1930","103","I4210099699","SA","15","False","True"
"A5087783197","Yong Joon Suh","0000-0002-8661-0023","13","775","42","I4210159787","KR","15","False","True"
"A5010218597","Fahim Belal Mahmud","","2","26","3","I103434671","BD","2","False","True"
"A5011234657","Ashesh Chattopadhyay","0000-0002-2590-1230","15","1936","101","I185103710","US","51","False","True"
"A5042919231","Amit Aflalo","","2","42","2","I53964585","IL","2","False","True"
"A5101625765","Yiyu Liu","0009-0007-7811-3290","7","167","44","I103890011","CN","25","False","True"
"A5066291894","Shunwang Gong","0000-0001-8717-8722","7","232","16","I47508984","GB","4","False","True"
"A5092649566","Roheen Qamar","0000-0003-4169-9455","4","90","29","I65146876","PK","5","False","True"
"A2304929812","Setareh Maghsudi","0000-0002-0647-611X","11","729","13","","","1","True","False"
"A5047554299","Mengze Wu","0000-0001-6644-6505","6","267","17","I16365422","CN","5","False","True"
"A5101679464","Sanjay Sharma","0000-0003-2898-9925","13","1625","51","I39555362","GB","89","False","True"
"A5088784476","Bulent Ayhan","0000-0003-2813-9058","26","3219","105","I4210096458","US","23","False","True"
"A5030873409","Mahfuzur Rahman","0000-0003-2072-5829","27","2507","123","I29891158","AE","53","False","True"
"A5002480344","Mark Cheung","0000-0002-5909-8853","4","112","11","I74973139","US","5","False","True"
"A5065551389","Josue Genaro Almaraz-Rivera","0000-0001-8343-4530","4","155","5","I98461037","MX","4","False","True"
"A5100413481","Ji-Hyun Lee","0000-0001-5485-2776","8","366","23","I139264467","KR","16","False","True"
"A5077593277","Francesco Gentile","0000-0001-8299-1976","20","2488","73","I153718931","CA","44","False","True"
"A5059738909","Zhenhua Huang","0000-0002-5491-1120","14","775","77","I4210162753","CN","21","False","True"
"A5030576977","Guillermo Bernárdez","0000-0002-6790-4878","5","142","20","I154570441","US","5","False","True"
"A5058426743","Jianwen Sun","0000-0002-0951-1072","20","1087","100","I183935753","GB","19","False","True"
"A5048658855","Cristina Ledro","0000-0003-0656-4440","3","256","6","","","7","False","False"
"A5020100537","Song Xia","","2","127","3","I4210104151","CN","5","False","True"
"A5018198886","D. N. V. S. L. S. Indira","0000-0003-1631-1156","8","437","43","","","14","False","False"
"A5101580391","Hui Han","0000-0002-6295-5908","10","676","28","","","22","False","False"
"A5101813137","Ruijia Wang","0000-0003-2294-9164","8","574","18","I139759216","CN","7","False","True"
"A5023700092","Jorai Rijsdijk","0000-0002-7188-1744","1","128","2","","","2","False","False"
"A5070103338","Pawan Whig","0000-0003-1863-1591","27","2161","229","","","15","True","False"
"A5008204423","Eva Cetinić","0000-0002-5330-1259","10","926","21","I202697423","CH","13","False","True"
"A5025234301","Shahid Latif","0000-0002-6368-2729","27","2588","75","I178535277","GB","38","False","True"
"A5101503330","Byoungjun Kim","0000-0002-6786-0430","4","256","8","","","7","False","False"
"A5114585237","David R. Dalton","0000-0002-7571-2358","19","1216","166","","","64","False","False"
"A5033649295","Jingchen Zhao","0000-0003-0900-1352","10","491","78","","","23","False","False"
"A5060746555","Zeynep Hilal Kilimci","0000-0003-1497-305X","14","800","77","I51826884","TR","14","False","True"
"A5079409805","Justin Stebbing","0000-0002-1117-6947","83","30111","1067","I4210146582","GB","72","True","True"
"A5012742956","Alaa Sheta","0000-0002-3727-6276","27","2890","190","I35462925","US","30","False","True"
"A5012239175","Sara Aqab","","1","44","1","I117222138","AE","1","False","True"
"A5036562666","Khizar Abbas","0000-0002-2432-1357","17","1146","44","I4575257","KR","11","False","True"
"A5017553711","Wang-Zhou Dai","0000-0002-6884-7158","11","333","37","I881766915","CN","21","False","True"
"A5100626752","Guangyue Li","0000-0002-6320-9624","14","718","29","I4210097978","CN","15","False","True"
"A5064345628","Marwan Adnan Jasim","","2","223","2","I78277041","IQ","1","False","True"
"A5016180970","Carlo Milana","0000-0003-3042-0041","14","774","61","I193223587","IT","42","False","True"
"A5013138833","Junghyun Namkung","0000-0002-0246-0065","17","1017","57","I134353371","KR","21","False","True"
"A5083281703","YiRang Shin","0000-0001-6903-1719","8","273","25","I157725225","US","7","False","True"
"A5112523396","Gözde Karataş","","8","576","13","I197185219","TR","5","False","True"
"A5070439928","Gonçalo Marques","0000-0001-5834-6571","40","5355","201","","","25","False","False"
"A5025712960","Pradeep Kumar Roy","0000-0001-5513-2834","19","1870","72","I150870154","IN","20","False","True"
"A5040905250","Jan G. Rittig","0000-0003-4645-5716","13","557","40","I887968799","DE","6","False","True"
"A5056549312","Maciej Besta","0000-0002-6550-7916","24","2248","134","I35440088","CH","12","True","True"
"A5050652744","Lutfiah Zahara","","1","145","1","I4210087516","ID","1","False","True"
"A5048037778","Jide Yuan","0000-0002-5585-6039","10","433","40","I3923682","CN","10","False","True"
"A5042165620","Jinzhe Zeng","0000-0002-1515-8172","17","2088","59","I102322142","US","29","False","True"
"A5108739452","Sergii Bogachov","","3","114","6","I211738395","RU","3","False","True"
"A5070238515","Trang T. Le","0000-0003-3737-6565","23","3858","141","I1743320","US","29","False","True"
"A5090547435","Dávid Markovics","0009-0005-2848-2296","2","333","10","","","6","False","False"
"A5005788917","Ben Luijten","0000-0002-1797-8721","7","899","18","","","6","False","False"
"A5044654199","Fabrice Harel-Canada","","5","190","17","I161318765","US","6","False","True"
"A5113232103","Mohammad Hasan Ahmadilivani","","3","89","4","I111112146","EE","3","False","True"
"A5029732099","Ting Wang","0000-0002-1423-4559","12","1770","58","I93131583","US","26","False","True"
"A5005791474","Devansh Agarwal","0000-0003-0385-491X","12","817","37","I157075465","DE","51","False","True"
"A5034693564","Fei Liang","0000-0002-7639-1584","7","645","15","","","16","False","False"
"A5026505537","Filippo Arcadu","","11","691","34","I118019719","CH","27","False","True"
"A5044893361","Harry Surden","0000-0003-4434-1926","9","520","30","","","19","False","False"
"A5010573459","Saida Hafsa Rafique","0000-0002-2445-3798","4","168","8","","","8","False","False"
"A5052648906","Musaed Alhussein","0000-0002-5538-6778","34","4371","173","I12832649","KR","14","True","True"
"A5068105201","Jiaming Qian","0000-0002-9110-4950","17","1912","68","I205237279","CN","8","False","True"
"A5110037450","João Rico","","4","66","6","","","15","False","False"
"A5004931407","Guendalina Caldarini","0000-0001-5317-0845","3","381","3","I5728261","GB","3","False","True"
"A5025651569","Jiamin Wu","0000-0003-3479-1026","38","5820","234","I16351329","CN","35","False","True"
"A5016690806","Muhammad Shoaib Akhtar","0000-0003-2579-0208","15","942","23","","","7","False","False"
"A5007504195","Zitong Li","0000-0001-8469-7295","25","2112","116","I177739611","CN","37","False","True"
